#plotFingerprint --outRawCounts
'SPT5_T0_R2'	'SPT5_INPUT_R2'
5316	198
0	514
0	644
152	323
0	269
0	1080
87	100
138	329
0	398
0	276
76	637
4066	299
583	237
0	944
76	251
0	351
7354	390
120	249
76	196
152	490
0	247
0	408
76	382
1665	296
76	111
0	437
266	344
0	298
0	246
76	488
8324	145
0	360
368	248
89	443
152	621
352	197
76	468
674	526
49	99
620	368
90	96
2	100
0	697
280	216
289	978
149	439
0	277
3334	254
212	60
0	430
0	28
227	149
0	616
0	371
150	203
0	395
0	109
22	383
213	632
151	348
246	0
567	320
0	258
0	161
38	738
1232	156
4881	1270
86	556
303	451
3231	0
74	371
0	306
0	397
76	197
82	532
4447	524
32	184
0	297
172	547
96	525
357	488
150	149
75	371
76	246
230	347
0	352
55	0
152	499
154	348
5839	485
357	177
0	601
134	196
90	269
0	235
120	472
287	343
303	587
