## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SPT5_INPUT_R1_T1.Lb.sorted.bam] OUTPUT=SPT5_INPUT_R1.mLb.mkD.sorted.bam METRICS_FILE=SPT5_INPUT_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 10 12:59:54 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SPT5_INPUT_R1_T1	33	93899	0	11277	3	28	0	0.000314	157415523

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	93843	93843
2.0	1.999404	28	28
3.0	2.998211	0	0
4.0	3.996423	0	0
5.0	4.99404	0	0
6.0	5.991062	0	0
7.0	6.98749	0	0
8.0	7.983323	0	0
9.0	8.978562	0	0
10.0	9.973208	0	0
11.0	10.967261	0	0
12.0	11.960721	0	0
13.0	12.953588	0	0
14.0	13.945864	0	0
15.0	14.937547	0	0
16.0	15.92864	0	0
17.0	16.919141	0	0
18.0	17.909052	0	0
19.0	18.898372	0	0
20.0	19.887102	0	0
21.0	20.875243	0	0
22.0	21.862795	0	0
23.0	22.849757	0	0
24.0	23.836131	0	0
25.0	24.821917	0	0
26.0	25.807115	0	0
27.0	26.791726	0	0
28.0	27.775749	0	0
29.0	28.759186	0	0
30.0	29.742036	0	0
31.0	30.7243	0	0
32.0	31.705978	0	0
33.0	32.687071	0	0
34.0	33.667579	0	0
35.0	34.647502	0	0
36.0	35.626841	0	0
37.0	36.605596	0	0
38.0	37.583767	0	0
39.0	38.561355	0	0
40.0	39.53836	0	0
41.0	40.514782	0	0
42.0	41.490622	0	0
43.0	42.46588	0	0
44.0	43.440556	0	0
45.0	44.414652	0	0
46.0	45.388166	0	0
47.0	46.3611	0	0
48.0	47.333454	0	0
49.0	48.305227	0	0
50.0	49.276422	0	0
51.0	50.247037	0	0
52.0	51.217073	0	0
53.0	52.186531	0	0
54.0	53.155411	0	0
55.0	54.123713	0	0
56.0	55.091438	0	0
57.0	56.058585	0	0
58.0	57.025156	0	0
59.0	57.99115	0	0
60.0	58.956569	0	0
61.0	59.921411	0	0
62.0	60.885679	0	0
63.0	61.849371	0	0
64.0	62.812489	0	0
65.0	63.775032	0	0
66.0	64.737001	0	0
67.0	65.698397	0	0
68.0	66.659219	0	0
69.0	67.619468	0	0
70.0	68.579145	0	0
71.0	69.53825	0	0
72.0	70.496782	0	0
73.0	71.454743	0	0
74.0	72.412133	0	0
75.0	73.368951	0	0
76.0	74.3252	0	0
77.0	75.280878	0	0
78.0	76.235986	0	0
79.0	77.190524	0	0
80.0	78.144493	0	0
81.0	79.097894	0	0
82.0	80.050726	0	0
83.0	81.002989	0	0
84.0	81.954685	0	0
85.0	82.905813	0	0
86.0	83.856374	0	0
87.0	84.806369	0	0
88.0	85.755796	0	0
89.0	86.704658	0	0
90.0	87.652954	0	0
91.0	88.600684	0	0
92.0	89.547849	0	0
93.0	90.494449	0	0
94.0	91.440485	0	0
95.0	92.385957	0	0
96.0	93.330865	0	0
97.0	94.275209	0	0
98.0	95.21899	0	0
99.0	96.162209	0	0
100.0	97.104865	0	0

