## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SPT5_T0_R2_T1.Lb.sorted.bam] OUTPUT=SPT5_T0_R2.mLb.mkD.sorted.bam METRICS_FILE=SPT5_T0_R2.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 10 13:00:14 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SPT5_T0_R2_T1	521	92451	0	13997	251	5182	0	0.057247	793585

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	83408	83408
2.0	1.890032	3028	3028
3.0	2.682189	570	570
4.0	3.387234	153	153
5.0	4.014746	59	59
6.0	4.573252	19	19
7.0	5.07034	17	17
8.0	5.512765	7	7
9.0	5.906537	4	4
10.0	6.257006	2	2
11.0	6.568936	0	0
12.0	6.846563	1	1
13.0	7.093659	1	1
14.0	7.313583	0	0
15.0	7.509323	0	0
16.0	7.683537	0	0
17.0	7.838594	0	0
18.0	7.976599	0	0
19.0	8.099428	0	0
20.0	8.208749	0	0
21.0	8.306049	0	0
22.0	8.392649	0	0
23.0	8.469726	0	0
24.0	8.538326	0	0
25.0	8.599383	0	0
26.0	8.653726	0	0
27.0	8.702092	0	0
28.0	8.74514	0	0
29.0	8.783454	0	0
30.0	8.817555	0	0
31.0	8.847905	0	0
32.0	8.874918	0	0
33.0	8.898961	0	0
34.0	8.920359	0	0
35.0	8.939405	0	0
36.0	8.956356	0	0
37.0	8.971443	0	0
38.0	8.984871	0	0
39.0	8.996822	0	0
40.0	9.007459	0	0
41.0	9.016926	0	0
42.0	9.025352	0	0
43.0	9.032852	0	0
44.0	9.039527	0	0
45.0	9.045468	0	0
46.0	9.050755	0	0
47.0	9.055461	0	0
48.0	9.05965	0	0
49.0	9.063378	0	0
50.0	9.066696	0	0
51.0	9.069649	0	0
52.0	9.072277	0	0
53.0	9.074616	0	0
54.0	9.076698	0	0
55.0	9.078552	0	0
56.0	9.080201	0	0
57.0	9.081669	0	0
58.0	9.082975	0	0
59.0	9.084138	0	0
60.0	9.085173	0	0
61.0	9.086094	0	0
62.0	9.086914	0	0
63.0	9.087644	0	0
64.0	9.088293	0	0
65.0	9.088871	0	0
66.0	9.089386	0	0
67.0	9.089844	0	0
68.0	9.090251	0	0
69.0	9.090614	0	0
70.0	9.090937	0	0
71.0	9.091224	0	0
72.0	9.09148	0	0
73.0	9.091708	0	0
74.0	9.09191	0	0
75.0	9.09209	0	0
76.0	9.092251	0	0
77.0	9.092394	0	0
78.0	9.092521	0	0
79.0	9.092634	0	0
80.0	9.092735	0	0
81.0	9.092824	0	0
82.0	9.092904	0	0
83.0	9.092975	0	0
84.0	9.093038	0	0
85.0	9.093095	0	0
86.0	9.093145	0	0
87.0	9.093189	0	0
88.0	9.093229	0	0
89.0	9.093264	0	0
90.0	9.093296	0	0
91.0	9.093324	0	0
92.0	9.093348	0	0
93.0	9.093371	0	0
94.0	9.09339	0	0
95.0	9.093408	0	0
96.0	9.093423	0	0
97.0	9.093437	0	0
98.0	9.09345	0	0
99.0	9.093461	0	0
100.0	9.093471	0	0

