TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	765970.8	739999.9	794883.3
2000000.0	1327422.6	1214489.9	1490087.1
3000000.0	1762434.9	1544942.5	2136007.2
4000000.0	2110086.2	1788546.0	2742105.9
5000000.0	2394383.7	1975684.0	3312693.3
6000000.0	2631217.0	2124010.1	3851127.9
7000000.0	2831563.6	2244495.7	4360208.1
8000000.0	3003255.3	2344324.1	4842356.6
9000000.0	3152030.9	2428398.4	5299709.1
10000000.0	3282192.3	2500181.2	5734166.8
11000000.0	3397027.6	2562188.4	6147433.1
12000000.0	3499093.5	2616292.1	6541041.4
13000000.0	3590407.9	2663914.5	6916377.2
14000000.0	3672584.8	2706155.7	7274696.5
15000000.0	3746930.4	2743879.7	7617141.1
16000000.0	3814513.3	2777775.0	7944751.7
17000000.0	3876465.0	2808396.7	8258478.9
18000000.0	3933453.2	2836197.5	8559193.0
19000000.0	3985892.3	2861550.4	8847692.5
20000000.0	4034306.1	2884765.1	9124711.5
21000000.0	4079141.0	2906101.4	9390925.7
22000000.0	4120779.6	2925778.4	9646958.7
23000000.0	4159552.0	2943982.7	9893386.6
24000000.0	4195744.4	2960873.6	10130742.8
25000000.0	4229605.8	2976588.4	10359521.4
26000000.0	4261354.6	2991245.8	10580181.4
27000000.0	4291182.5	3004949.1	10793149.2
28000000.0	4319258.5	3017788.6	10998821.8
29000000.0	4345732.8	3029843.4	11197569.4
30000000.0	4370738.6	3041183.5	11389737.1
31000000.0	4394394.7	3051870.4	11575647.7
32000000.0	4416807.5	3061959.2	11755603.1
33000000.0	4438072.6	3071498.7	11929885.7
34000000.0	4458276.0	3080532.5	12098760.6
35000000.0	4477495.1	3089099.8	12262476.5
36000000.0	4495800.2	3097235.9	12421267.0
37000000.0	4513255.1	3104972.5	12575351.6
38000000.0	4529917.5	3112338.4	12724937.2
39000000.0	4545840.3	3119359.5	12870218.5
40000000.0	4561071.7	3126059.6	13011586.5
41000000.0	4575655.6	3132460.1	13149417.0
42000000.0	4589632.6	3138580.7	13283458.4
43000000.0	4603039.8	3144439.4	13413865.1
44000000.0	4615911.3	3150052.7	13540783.4
45000000.0	4628278.5	3155435.6	13664351.6
46000000.0	4640170.6	3160602.1	13784701.0
47000000.0	4651614.4	3165564.9	13901955.9
48000000.0	4662634.8	3170335.9	14016234.4
49000000.0	4673254.9	3174926.0	14127648.7
50000000.0	4683496.1	3179345.2	14236305.2
51000000.0	4693378.2	3183603.0	14342305.2
52000000.0	4702920.0	3187708.0	14445745.3
53000000.0	4712138.6	3191668.3	14546717.2
54000000.0	4721050.2	3195491.4	14645308.2
55000000.0	4729669.8	3199184.4	14741601.9
56000000.0	4738011.7	3202753.7	14835677.7
57000000.0	4746089.0	3206205.5	14927611.4
58000000.0	4753914.1	3209545.5	15017475.5
59000000.0	4761498.6	3212779.0	15105339.2
60000000.0	4768853.5	3215911.1	15191268.7
61000000.0	4775989.0	3218946.4	15275327.2
62000000.0	4782914.8	3221889.4	15357575.3
63000000.0	4789640.1	3224744.2	15438070.8
64000000.0	4796173.3	3227514.7	15516869.4
65000000.0	4802522.7	3230204.6	15594024.1
66000000.0	4808695.8	3232817.4	15669586.0
67000000.0	4814699.9	3235356.3	15743603.9
68000000.0	4820541.9	3237824.4	15816124.7
69000000.0	4826228.2	3240224.7	15887193.5
70000000.0	4831764.9	3242559.9	15956853.4
71000000.0	4837158.0	3244832.6	16025146.1
72000000.0	4842412.9	3247045.2	16092111.3
73000000.0	4847534.8	3249200.3	16157787.5
74000000.0	4852528.8	3251299.8	16222211.6
75000000.0	4857399.5	3253346.1	16285419.1
76000000.0	4862151.6	3255341.0	16347444.1
77000000.0	4866789.2	3257286.6	16408319.7
78000000.0	4871316.4	3259184.5	16468077.3
79000000.0	4875737.2	3261036.5	16526747.7
80000000.0	4880055.3	3262844.4	16584360.2
81000000.0	4884274.2	3264609.5	16640943.2
82000000.0	4888397.2	3266333.5	16696524.2
83000000.0	4892427.7	3268017.8	16751129.4
84000000.0	4896368.6	3269663.6	16804784.4
85000000.0	4900223.0	3271272.4	16857513.8
86000000.0	4903993.6	3272845.3	16909341.4
87000000.0	4907683.2	3274383.5	16960290.1
88000000.0	4911294.3	3275888.2	17010382.2
89000000.0	4914829.5	3277360.5	17059639.0
90000000.0	4918291.1	3278801.4	17108081.3
91000000.0	4921681.3	3280211.8	17155729.1
92000000.0	4925002.4	3281592.8	17202601.9
93000000.0	4928256.4	3282945.2	17248718.4
94000000.0	4931445.4	3284270.0	17294096.8
95000000.0	4934571.2	3285567.9	17338754.6
96000000.0	4937635.8	3286839.8	17382709.0
97000000.0	4940641.0	3288086.5	17425976.5
98000000.0	4943588.3	3289308.6	17468572.9
99000000.0	4946479.6	3290507.0	17510513.8
100000000.0	4949316.3	3291682.3	17551814.3
101000000.0	4952100.1	3292835.1	17592488.9
102000000.0	4954832.3	3293966.1	17632551.7
103000000.0	4957514.4	3295075.9	17672016.5
104000000.0	4960147.8	3296165.2	17710896.5
105000000.0	4962733.7	3297234.3	17749204.7
106000000.0	4965273.5	3298284.1	17786953.6
107000000.0	4967768.4	3299314.8	17824155.3
108000000.0	4970219.5	3300327.1	17860821.7
109000000.0	4972628.0	3301321.5	17896964.2
110000000.0	4974995.0	3302298.3	17932594.0
111000000.0	4977321.5	3303258.2	17967722.0
112000000.0	4979608.7	3304201.4	18002358.7
113000000.0	4981857.4	3305128.5	18036514.3
114000000.0	4984068.7	3306039.9	18070198.7
115000000.0	4986243.4	3306935.9	18103421.7
116000000.0	4988382.5	3307816.9	18136192.7
117000000.0	4990486.8	3308683.4	18168520.9
118000000.0	4992557.2	3309535.6	18200415.1
119000000.0	4994594.5	3310373.9	18231884.1
120000000.0	4996599.5	3311198.7	18262936.3
121000000.0	4998572.9	3312010.3	18293580.0
122000000.0	5000515.5	3312808.9	18323823.1
123000000.0	5002428.0	3313595.0	18353673.4
124000000.0	5004311.0	3314368.7	18383138.7
125000000.0	5006165.4	3315130.4	18412226.2
126000000.0	5007991.6	3315880.4	18440943.2
127000000.0	5009790.4	3316618.9	18469296.7
128000000.0	5011562.4	3317346.2	18497293.6
129000000.0	5013308.1	3318062.5	18524940.6
130000000.0	5015028.2	3318768.2	18552244.2
131000000.0	5016723.1	3319463.3	18579210.8
132000000.0	5018393.5	3320148.2	18605846.5
133000000.0	5020039.9	3320823.1	18632157.5
134000000.0	5021662.8	3321488.2	18658149.5
135000000.0	5023262.6	3322143.8	18683828.5
136000000.0	5024840.0	3322789.9	18709200.0
137000000.0	5026395.3	3323426.8	18734269.5
138000000.0	5027929.0	3324054.8	18759042.4
139000000.0	5029441.5	3324674.0	18783523.9
140000000.0	5030933.3	3325284.5	18807719.1
141000000.0	5032404.9	3325886.6	18831633.1
142000000.0	5033856.5	3326480.5	18855270.6
143000000.0	5035288.7	3327066.2	18878636.5
144000000.0	5036701.8	3327644.1	18901735.4
145000000.0	5038096.2	3328214.1	18924571.9
146000000.0	5039472.3	3328776.6	18947150.4
147000000.0	5040830.3	3329331.6	18969475.2
148000000.0	5042170.8	3329879.2	18991550.7
149000000.0	5043493.9	3330419.7	19013381.0
150000000.0	5044800.1	3330953.2	19034970.1
151000000.0	5046089.7	3331479.8	19056322.0
152000000.0	5047362.9	3331999.6	19077440.6
153000000.0	5048620.1	3332512.8	19098329.8
154000000.0	5049861.7	3333019.4	19118993.1
155000000.0	5051087.8	3333519.7	19139434.4
156000000.0	5052298.7	3334013.8	19159657.1
157000000.0	5053494.8	3334501.6	19179664.7
158000000.0	5054676.4	3334983.5	19199460.6
159000000.0	5055843.6	3335459.4	19219048.2
160000000.0	5056996.8	3335929.5	19238430.8
161000000.0	5058136.1	3336393.9	19257611.5
162000000.0	5059261.9	3336852.8	19276593.5
163000000.0	5060374.4	3337306.1	19295379.9
164000000.0	5061473.8	3337754.0	19313973.7
165000000.0	5062560.3	3338196.5	19332377.8
166000000.0	5063634.2	3338633.9	19350595.1
167000000.0	5064695.7	3339066.2	19368628.4
168000000.0	5065745.0	3339493.4	19386480.6
169000000.0	5066782.3	3339915.7	19404154.3
170000000.0	5067807.9	3340333.1	19421652.2
171000000.0	5068821.8	3340745.7	19438976.9
172000000.0	5069824.4	3341153.6	19456130.9
173000000.0	5070815.7	3341557.0	19473116.9
174000000.0	5071796.1	3341955.8	19489937.2
175000000.0	5072765.6	3342350.1	19506594.2
176000000.0	5073724.5	3342740.0	19523090.3
177000000.0	5074672.8	3343125.6	19539427.9
178000000.0	5075610.9	3343507.0	19555609.2
179000000.0	5076538.9	3343884.2	19571636.5
180000000.0	5077456.8	3344257.3	19587511.8
181000000.0	5078365.0	3344626.4	19603237.5
182000000.0	5079263.5	3344991.5	19618815.6
183000000.0	5080152.5	3345352.6	19634248.1
184000000.0	5081032.1	3345710.0	19649537.1
185000000.0	5081902.6	3346063.5	19664684.6
186000000.0	5082763.9	3346413.3	19679692.5
187000000.0	5083616.4	3346759.5	19694562.8
188000000.0	5084460.0	3347102.0	19709297.3
189000000.0	5085295.0	3347441.0	19723897.9
190000000.0	5086121.5	3347776.5	19738366.5
191000000.0	5086939.6	3348108.5	19752704.7
192000000.0	5087749.4	3348437.2	19766914.4
193000000.0	5088551.1	3348762.5	19780997.3
194000000.0	5089344.8	3349084.5	19794955.0
195000000.0	5090130.6	3349403.3	19808789.3
196000000.0	5090908.6	3349718.8	19822501.7
197000000.0	5091679.0	3350031.3	19836093.9
198000000.0	5092441.8	3350340.6	19849567.4
199000000.0	5093197.1	3350646.9	19862923.8
200000000.0	5093945.2	3350950.2	19876164.6
201000000.0	5094686.0	3351250.5	19889291.3
202000000.0	5095419.7	3351547.9	19902305.4
203000000.0	5096146.3	3351842.5	19915208.2
204000000.0	5096866.1	3352134.2	19928001.3
205000000.0	5097579.0	3352423.1	19940686.1
206000000.0	5098285.2	3352709.2	19953263.8
207000000.0	5098984.8	3352992.6	19965735.9
208000000.0	5099677.8	3353273.4	19978103.6
209000000.0	5100364.4	3353551.5	19990368.3
210000000.0	5101044.6	3353827.0	20002531.3
211000000.0	5101718.6	3354099.9	20014593.8
212000000.0	5102386.4	3354370.3	20026557.0
213000000.0	5103048.0	3354638.3	20038422.2
214000000.0	5103703.7	3354903.7	20050190.6
215000000.0	5104353.5	3355166.7	20061863.4
216000000.0	5104997.4	3355427.4	20073441.7
217000000.0	5105635.5	3355685.7	20084926.6
218000000.0	5106267.9	3355941.6	20096319.3
219000000.0	5106894.7	3356195.3	20107621.0
220000000.0	5107515.9	3356446.6	20118832.6
221000000.0	5108131.7	3356695.8	20129955.2
222000000.0	5108742.1	3356942.7	20140990.0
223000000.0	5109347.2	3357187.5	20151937.9
224000000.0	5109946.9	3357430.1	20162800.0
225000000.0	5110541.5	3357670.6	20173577.2
226000000.0	5111131.0	3357909.0	20184270.7
227000000.0	5111715.4	3358145.3	20194881.2
228000000.0	5112294.9	3358379.6	20205409.9
229000000.0	5112869.4	3358611.8	20215857.6
230000000.0	5113439.0	3358842.1	20226225.2
231000000.0	5114003.8	3359070.5	20236513.8
232000000.0	5114563.9	3359296.9	20246724.1
233000000.0	5115119.3	3359521.3	20256857.1
234000000.0	5115670.0	3359743.9	20266913.7
235000000.0	5116216.2	3359964.6	20276894.7
236000000.0	5116757.9	3360183.5	20286801.0
237000000.0	5117295.1	3360400.6	20296633.3
238000000.0	5117827.9	3360615.9	20306392.6
239000000.0	5118356.4	3360829.3	20316079.7
240000000.0	5118880.6	3361041.1	20325695.2
241000000.0	5119400.5	3361251.1	20335240.1
242000000.0	5119916.3	3361459.4	20344715.1
243000000.0	5120427.9	3361666.0	20354120.9
244000000.0	5120935.4	3361871.0	20363458.4
245000000.0	5121438.8	3362074.3	20372728.3
246000000.0	5121938.3	3362275.9	20381931.2
247000000.0	5122433.8	3362476.0	20391068.0
248000000.0	5122925.4	3362674.5	20400139.2
249000000.0	5123413.2	3362871.4	20409145.8
250000000.0	5123897.2	3363066.7	20418088.2
251000000.0	5124377.3	3363260.5	20426967.2
252000000.0	5124853.8	3363452.9	20435783.6
253000000.0	5125326.6	3363643.7	20444537.8
254000000.0	5125795.8	3363833.0	20453230.7
255000000.0	5126261.3	3364020.8	20461862.7
256000000.0	5126723.3	3364207.3	20470434.7
257000000.0	5127181.8	3364392.2	20478947.1
258000000.0	5127636.8	3364575.8	20487400.7
259000000.0	5128088.4	3364758.0	20495796.0
260000000.0	5128536.6	3364938.8	20504133.6
261000000.0	5128981.5	3365118.2	20512414.1
262000000.0	5129423.0	3365296.3	20520638.2
263000000.0	5129861.2	3365473.0	20528806.3
264000000.0	5130296.2	3365648.4	20536919.0
265000000.0	5130728.0	3365822.6	20544976.9
266000000.0	5131156.6	3365995.4	20552980.7
267000000.0	5131582.1	3366166.9	20560930.7
268000000.0	5132004.4	3366337.2	20568827.5
269000000.0	5132423.7	3366506.2	20576671.8
270000000.0	5132840.0	3366674.0	20584463.9
271000000.0	5133253.2	3366840.6	20592204.5
272000000.0	5133663.5	3367006.0	20599893.9
273000000.0	5134070.8	3367170.2	20607532.8
274000000.0	5134475.2	3367333.2	20615121.7
275000000.0	5134876.8	3367495.0	20622660.9
276000000.0	5135275.5	3367655.7	20630151.1
277000000.0	5135671.4	3367815.2	20637592.6
278000000.0	5136064.5	3367973.6	20644986.0
279000000.0	5136454.8	3368130.8	20652331.8
280000000.0	5136842.4	3368287.0	20659630.3
281000000.0	5137227.3	3368442.1	20666882.0
282000000.0	5137609.6	3368596.1	20674087.4
283000000.0	5137989.2	3368749.0	20681246.9
284000000.0	5138366.1	3368900.8	20688361.0
285000000.0	5138740.5	3369051.6	20695430.1
286000000.0	5139112.3	3369201.3	20702454.6
287000000.0	5139481.6	3369350.1	20709435.0
288000000.0	5139848.4	3369497.8	20716371.6
289000000.0	5140212.7	3369644.5	20723264.8
290000000.0	5140574.5	3369790.2	20730115.2
291000000.0	5140933.9	3369934.9	20736923.0
292000000.0	5141290.9	3370078.6	20743688.6
293000000.0	5141645.5	3370221.3	20750412.5
294000000.0	5141997.7	3370363.1	20757095.1
295000000.0	5142347.6	3370504.0	20763736.6
296000000.0	5142695.1	3370643.9	20770337.6
