task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a0/139af8	323060	CHECK_DESIGN (design.csv)	COMPLETED	0	2020-09-10 12:56:25.622	3.8s	80ms	65.1%	2.3 MB	17.7 MB	619.5 KB	1.8 KB
3	00/157ada	323055	MAKE_GENE_BED (genes.gtf)	COMPLETED	0	2020-09-10 12:56:25.571	4.4s	782ms	99.0%	9.5 MB	42.6 MB	11.7 MB	391.4 KB
6	59/f71c9f	324911	output_documentation	COMPLETED	0	2020-09-10 12:56:29.474	4.7s	489ms	88.0%	12.8 MB	45.6 MB	3.2 MB	1.2 MB
5	3f/286e4e	325116	get_software_versions	COMPLETED	0	2020-09-10 12:56:29.949	11.6s	6.9s	109.8%	74 MB	4.7 GB	44.9 MB	10.8 KB
4	34/1d5b54	327865	MAKE_GENOME_FILTER (genome.fa)	COMPLETED	0	2020-09-10 12:56:41.550	3.7s	107ms	100.0%	2.2 MB	17.7 MB	11.9 MB	997 B
2	55/92a4f2	326364	BWA_INDEX (genome.fa)	COMPLETED	0	2020-09-10 12:56:34.155	16.3s	11.6s	93.1%	56.4 MB	74.7 MB	47 MB	31.9 MB
8	e1/a217d0	328841	FASTQC (SPT5_INPUT_R1_T1)	COMPLETED	0	2020-09-10 12:56:45.296	15.9s	13s	160.4%	237.9 MB	3.3 GB	38.1 MB	4.4 MB
7	04/a99077	329934	TRIMGALORE (SPT5_INPUT_R1_T1)	COMPLETED	0	2020-09-10 12:56:50.451	23.5s	20.2s	163.8%	248.8 MB	3.1 GB	257.9 MB	213 MB
11	bf/715e9e	331956	FASTQC (SPT5_T0_R1_T1)	COMPLETED	0	2020-09-10 12:57:01.183	16.9s	12.6s	166.3%	212.5 MB	3.3 GB	40.3 MB	4 MB
12	48/a3a1ab	334066	TRIMGALORE (SPT5_T0_R1_T1)	COMPLETED	0	2020-09-10 12:57:13.983	26.6s	22.6s	170.6%	239.5 MB	3.1 GB	287.2 MB	239.7 MB
10	e4/1fd169	334995	TRIMGALORE (SPT5_INPUT_R2_T1)	COMPLETED	0	2020-09-10 12:57:18.099	24.3s	21s	156.1%	210.5 MB	3.1 GB	257.7 MB	212.9 MB
9	f0/0c96b3	338963	FASTQC (SPT5_INPUT_R2_T1)	COMPLETED	0	2020-09-10 12:57:40.582	14.3s	11s	163.2%	222.2 MB	3.3 GB	37.9 MB	3.2 MB
13	21/c72960	339512	TRIMGALORE (SPT5_T0_R2_T1)	COMPLETED	0	2020-09-10 12:57:42.365	27s	23.7s	148.2%	212.3 MB	3.1 GB	289 MB	241.4 MB
14	61/31369d	342102	FASTQC (SPT5_T0_R2_T1)	COMPLETED	0	2020-09-10 12:57:54.885	15.8s	12.1s	170.5%	226.8 MB	3.3 GB	40.3 MB	4 MB
17	3e/c3dc21	344460	FASTQC (SPT5_T15_R2_T1)	COMPLETED	0	2020-09-10 12:58:09.330	17.9s	14.1s	145.2%	230.5 MB	3.3 GB	40.5 MB	4 MB
18	5c/92aafc	344977	TRIMGALORE (SPT5_T15_R2_T1)	COMPLETED	0	2020-09-10 12:58:10.645	28.7s	25.2s	154.2%	235.2 MB	3.1 GB	289.9 MB	242.1 MB
16	a1/70bf36	347919	TRIMGALORE (SPT5_T15_R1_T1)	COMPLETED	0	2020-09-10 12:58:27.205	28.5s	24.4s	155.3%	241.9 MB	3.1 GB	294.1 MB	246.3 MB
15	be/022ad6	349966	FASTQC (SPT5_T15_R1_T1)	COMPLETED	0	2020-09-10 12:58:39.340	17.6s	13.6s	143.9%	226.5 MB	3.3 GB	40.5 MB	4 MB
19	95/fd6cbf	352466	BWA_MEM (SPT5_INPUT_R1_T1)	COMPLETED	0	2020-09-10 12:58:55.679	11.2s	8.1s	162.6%	149.1 MB	290.1 MB	80.9 MB	64.5 MB
20	a5/0fb53b	353034	BWA_MEM (SPT5_T0_R1_T1)	COMPLETED	0	2020-09-10 12:58:56.918	13s	9.9s	170.6%	168.8 MB	706.5 MB	79.2 MB	60.8 MB
21	5c/9d3f6a	354856	BWA_MEM (SPT5_INPUT_R2_T1)	COMPLETED	0	2020-09-10 12:59:06.939	10.7s	7s	173.4%	155.8 MB	353.1 MB	81 MB	64.6 MB
