## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SPT5_T15_R2_T1.Lb.sorted.bam] OUTPUT=SPT5_T15_R2.mLb.mkD.sorted.bam METRICS_FILE=SPT5_T15_R2.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 10 13:00:35 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SPT5_T15_R2_T1	512	93948	0	11066	192	2927	0	0.03209	1476244

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	88728	88728
2.0	1.938343	1864	1864
3.0	2.81883	308	308
4.0	3.645029	78	78
5.0	4.420287	21	21
6.0	5.147745	12	12
7.0	5.830349	6	6
8.0	6.470867	1	1
9.0	7.071891	2	2
10.0	7.635859	0	0
11.0	8.165053	1	1
12.0	8.661619	0	0
13.0	9.127569	0	0
14.0	9.564789	0	0
15.0	9.975051	0	0
16.0	10.360018	0	0
17.0	10.721249	0	0
18.0	11.060207	0	0
19.0	11.378266	0	0
20.0	11.676715	0	0
21.0	11.956762	0	0
22.0	12.219542	0	0
23.0	12.46612	0	0
24.0	12.697494	0	0
25.0	12.914603	0	0
26.0	13.118325	0	0
27.0	13.309487	0	0
28.0	13.488862	0	0
29.0	13.657177	0	0
30.0	13.815114	0	0
31.0	13.963314	0	0
32.0	14.102376	0	0
33.0	14.232863	0	0
34.0	14.355305	0	0
35.0	14.470198	0	0
36.0	14.578007	0	0
37.0	14.679169	0	0
38.0	14.774093	0	0
39.0	14.863164	0	0
40.0	14.946744	0	0
41.0	15.02517	0	0
42.0	15.098761	0	0
43.0	15.167815	0	0
44.0	15.23261	0	0
45.0	15.293411	0	0
46.0	15.350463	0	0
47.0	15.403997	0	0
48.0	15.45423	0	0
49.0	15.501367	0	0
50.0	15.545596	0	0
51.0	15.587099	0	0
52.0	15.626043	0	0
53.0	15.662586	0	0
54.0	15.696875	0	0
55.0	15.729051	0	0
56.0	15.759242	0	0
57.0	15.787572	0	0
58.0	15.814156	0	0
59.0	15.8391	0	0
60.0	15.862506	0	0
61.0	15.884469	0	0
62.0	15.905078	0	0
63.0	15.924416	0	0
64.0	15.942562	0	0
65.0	15.959589	0	0
66.0	15.975566	0	0
67.0	15.990558	0	0
68.0	16.004626	0	0
69.0	16.017826	0	0
70.0	16.030213	0	0
71.0	16.041836	0	0
72.0	16.052742	0	0
73.0	16.062975	0	0
74.0	16.072578	0	0
75.0	16.081589	0	0
76.0	16.090044	0	0
77.0	16.097977	0	0
78.0	16.105422	0	0
79.0	16.112408	0	0
80.0	16.118962	0	0
81.0	16.125113	0	0
82.0	16.130885	0	0
83.0	16.1363	0	0
84.0	16.141382	0	0
85.0	16.14615	0	0
86.0	16.150625	0	0
87.0	16.154823	0	0
88.0	16.158763	0	0
89.0	16.162459	0	0
90.0	16.165928	0	0
91.0	16.169183	0	0
92.0	16.172237	0	0
93.0	16.175103	0	0
94.0	16.177792	0	0
95.0	16.180316	0	0
96.0	16.182684	0	0
97.0	16.184906	0	0
98.0	16.18699	0	0
99.0	16.188947	0	0
100.0	16.190782	0	0

