Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
2.30834	3.05429	3.51131	3.75071370737074	4.24294	13.6641	909	fold	SPT5_T0_R1
1.01549	1.63158	2.29156	2.92548132013201	3.53678	112.123	909	-log10(qvalue)	SPT5_T0_R1
2.53712	3.31961	4.11609	4.8131998459846	5.5447	116.25	909	-log10(pvalue)	SPT5_T0_R1
164	262	407	534.123212321232	677	2898	909	length	SPT5_T0_R1
2.59852	3.136995	3.50091	3.94304233587786	4.35224	13.3746	655	fold	SPT5_T0_R2
1.06275	1.70876	2.20278	3.575792	3.64925	336.647	655	-log10(qvalue)	SPT5_T0_R2
2.64427	3.476525	4.05828	5.52890772519084	5.738515	340.77	655	-log10(pvalue)	SPT5_T0_R2
197	336	508	644.609160305343	784	3168	655	length	SPT5_T0_R2
2.40435	3.1615925	3.657515	3.87318040302267	4.43984	7.08976	794	fold	SPT5_T15_R1
1.06845	1.87753	2.78545	3.34652328715365	4.16981	110.779	794	-log10(qvalue)	SPT5_T15_R1
2.61574	3.6044425	4.645385	5.26806328715365	6.2408825	114.929	794	-log10(pvalue)	SPT5_T15_R1
192	287.25	432	562.080604534005	709	3221	794	length	SPT5_T15_R1
2.48174	2.97425	3.36825	3.54058676676677	3.90792	7.15032	999	fold	SPT5_T15_R2
1.00868	1.57578	2.15276	2.62621437437437	3.069255	140.514	999	-log10(qvalue)	SPT5_T15_R2
2.49023	3.24516	3.9514	4.48047486486487	5.051985	144.862	999	-log10(pvalue)	SPT5_T15_R2
175	265.5	401	529.812812812813	662	3096	999	length	SPT5_T15_R2
