## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SPT5_T15_R1_T1.Lb.sorted.bam] OUTPUT=SPT5_T15_R1.mLb.mkD.sorted.bam METRICS_FILE=SPT5_T15_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 10 13:00:31 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SPT5_T15_R1_T1	424	94146	0	10822	147	3281	0	0.035551	1319159

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	88369	88369
2.0	1.931119	1991	1991
3.0	2.798102	344	344
4.0	3.605366	100	100
5.0	4.357024	36	36
6.0	5.056908	9	9
7.0	5.708583	7	7
8.0	6.31537	6	6
9.0	6.880361	0	0
10.0	7.406435	1	1
11.0	7.896272	2	2
12.0	8.352369	0	0
13.0	8.777049	0	0
14.0	9.172477	0	0
15.0	9.540668	0	0
16.0	9.883497	0	0
17.0	10.202712	0	0
18.0	10.499939	0	0
19.0	10.776693	0	0
20.0	11.034383	0	0
21.0	11.274324	0	0
22.0	11.497737	0	0
23.0	11.705761	0	0
24.0	11.899457	0	0
25.0	12.07981	0	0
26.0	12.247741	0	0
27.0	12.404104	0	0
28.0	12.549697	0	0
29.0	12.685261	0	0
30.0	12.811487	0	0
31.0	12.929019	0	0
32.0	13.038455	0	0
33.0	13.140353	0	0
34.0	13.235233	0	0
35.0	13.323577	0	0
36.0	13.405835	0	0
37.0	13.482428	0	0
38.0	13.553745	0	0
39.0	13.620149	0	0
40.0	13.681979	0	0
41.0	13.739551	0	0
42.0	13.793157	0	0
43.0	13.84307	0	0
44.0	13.889546	0	0
45.0	13.93282	0	0
46.0	13.973113	0	0
47.0	14.010631	0	0
48.0	14.045565	0	0
49.0	14.078092	0	0
50.0	14.108379	0	0
51.0	14.13658	0	0
52.0	14.162838	0	0
53.0	14.187287	0	0
54.0	14.210053	0	0
55.0	14.23125	0	0
56.0	14.250987	0	0
57.0	14.269365	0	0
58.0	14.286476	0	0
59.0	14.30241	0	0
60.0	14.317245	0	0
61.0	14.331059	0	0
62.0	14.343921	0	0
63.0	14.355897	0	0
64.0	14.367049	0	0
65.0	14.377432	0	0
66.0	14.3871	0	0
67.0	14.396102	0	0
68.0	14.404484	0	0
69.0	14.412289	0	0
70.0	14.419556	0	0
71.0	14.426322	0	0
72.0	14.432623	0	0
73.0	14.438489	0	0
74.0	14.443951	0	0
75.0	14.449037	0	0
76.0	14.453773	0	0
77.0	14.458183	0	0
78.0	14.462289	0	0
79.0	14.466112	0	0
80.0	14.469671	0	0
81.0	14.472986	0	0
82.0	14.476072	0	0
83.0	14.478946	0	0
84.0	14.481621	0	0
85.0	14.484113	0	0
86.0	14.486432	0	0
87.0	14.488592	0	0
88.0	14.490603	0	0
89.0	14.492476	0	0
90.0	14.49422	0	0
91.0	14.495843	0	0
92.0	14.497355	0	0
93.0	14.498763	0	0
94.0	14.500073	0	0
95.0	14.501294	0	0
96.0	14.50243	0	0
97.0	14.503488	0	0
98.0	14.504473	0	0
99.0	14.50539	0	0
100.0	14.506244	0	0

