#plotFingerprint --outRawCounts
'SPT5_T15_R2'	'SPT5_INPUT_R2'
211	248
225	443
1225	621
717	197
94	468
478	526
0	99
2509	485
158	177
106	601
76	196
56	269
0	235
637	472
602	343
259	587
36	0
76	197
151	532
3545	390
224	249
0	196
308	490
249	247
126	408
238	382
0	100
373	329
462	398
0	276
152	637
148	246
152	347
119	352
218	0
75	499
812	348
2338	145
79	360
286	0
74	371
233	306
546	397
1634	299
755	237
3	944
152	251
310	351
1885	524
393	184
152	297
0	547
452	525
198	488
0	149
134	371
1334	254
552	60
76	430
276	28
74	149
0	616
72	371
146	203
142	395
0	109
88	383
599	632
283	348
515	296
98	111
250	437
294	344
450	298
146	246
122	488
447	320
152	258
146	161
151	738
1303	156
74	0
1216	1270
370	556
631	451
0	368
228	96
531	100
0	697
738	216
1104	978
94	439
190	277
2465	198
109	514
199	644
303	323
0	269
478	1080
