## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SPT5_T0_R1_T1.Lb.sorted.bam] OUTPUT=SPT5_T0_R1.mLb.mkD.sorted.bam METRICS_FILE=SPT5_T0_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 10 12:59:54 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SPT5_T0_R1_T1	489	94924	0	9175	233	4455	0	0.048036	979391

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	87132	87132
2.0	1.907627	2624	2624
3.0	2.731415	479	479
4.0	3.479106	137	137
5.0	4.157732	62	62
6.0	4.773671	20	20
7.0	5.332714	8	8
8.0	5.840117	1	1
9.0	6.300649	3	3
10.0	6.718641	1	1
11.0	7.098022	0	0
12.0	7.442359	1	1
13.0	7.754888	0	0
14.0	8.038548	0	0
15.0	8.296005	0	0
16.0	8.529681	1	1
17.0	8.741771	0	0
18.0	8.93427	0	0
19.0	9.108987	0	0
20.0	9.267565	0	0
21.0	9.411495	0	0
22.0	9.54213	0	0
23.0	9.660698	0	0
24.0	9.768313	0	0
25.0	9.865987	0	0
26.0	9.954639	0	0
27.0	10.035102	0	0
28.0	10.108133	0	0
29.0	10.174417	0	0
30.0	10.234579	0	0
31.0	10.289183	0	0
32.0	10.338743	0	0
33.0	10.383725	0	0
34.0	10.424553	0	0
35.0	10.461608	0	0
36.0	10.495241	0	0
37.0	10.525767	0	0
38.0	10.553474	0	0
39.0	10.578621	0	0
40.0	10.601445	0	0
41.0	10.622161	0	0
42.0	10.640963	0	0
43.0	10.658028	0	0
44.0	10.673517	0	0
45.0	10.687576	0	0
46.0	10.700335	0	0
47.0	10.711916	0	0
48.0	10.722428	0	0
49.0	10.731968	0	0
50.0	10.740627	0	0
51.0	10.748486	0	0
52.0	10.755619	0	0
53.0	10.762094	0	0
54.0	10.76797	0	0
55.0	10.773303	0	0
56.0	10.778144	0	0
57.0	10.782538	0	0
58.0	10.786526	0	0
59.0	10.790145	0	0
60.0	10.79343	0	0
61.0	10.796412	0	0
62.0	10.799118	0	0
63.0	10.801574	0	0
64.0	10.803803	0	0
65.0	10.805827	0	0
66.0	10.807663	0	0
67.0	10.80933	0	0
68.0	10.810843	0	0
69.0	10.812216	0	0
70.0	10.813463	0	0
71.0	10.814594	0	0
72.0	10.81562	0	0
73.0	10.816552	0	0
74.0	10.817398	0	0
75.0	10.818166	0	0
76.0	10.818862	0	0
77.0	10.819495	0	0
78.0	10.820069	0	0
79.0	10.82059	0	0
80.0	10.821062	0	0
81.0	10.821492	0	0
82.0	10.821881	0	0
83.0	10.822235	0	0
84.0	10.822555	0	0
85.0	10.822847	0	0
86.0	10.823111	0	0
87.0	10.823351	0	0
88.0	10.823569	0	0
89.0	10.823766	0	0
90.0	10.823946	0	0
91.0	10.824109	0	0
92.0	10.824256	0	0
93.0	10.82439	0	0
94.0	10.824512	0	0
95.0	10.824623	0	0
96.0	10.824723	0	0
97.0	10.824814	0	0
98.0	10.824897	0	0
99.0	10.824972	0	0
100.0	10.82504	0	0

