TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	850242.7	773510.0	877234.8
2000000.0	1539349.4	1268330.4	1684207.6
3000000.0	2114519.6	1610175.6	2448501.3
4000000.0	2603659.8	1861962.5	3177957.2
5000000.0	3022963.6	2055213.3	3874696.8
6000000.0	3385741.8	2208206.2	4541054.7
7000000.0	3703435.6	2332331.2	5179058.2
8000000.0	3983960.5	2435053.1	5790522.4
9000000.0	4233480.6	2521467.9	6377094.6
10000000.0	4456867.8	2595172.8	6940280.6
11000000.0	4658023.7	2658779.7	7481462.5
12000000.0	4840110.1	2714230.6	8001912.7
13000000.0	5005716.2	2762999.8	8502806.1
14000000.0	5156982.6	2806226.2	8985229.2
15000000.0	5295694.8	2844803.9	9450188.5
16000000.0	5423353.3	2879444.7	9898618.6
17000000.0	5541228.9	2910721.8	10331387.8
18000000.0	5650404.7	2939102.5	10749304.4
19000000.0	5751809.6	2964971.3	11153122.1
20000000.0	5846244.8	2988647.6	11543543.9
21000000.0	5934404.9	3010398.8	11921226.8
22000000.0	6016895.4	3030450.5	12286785.4
23000000.0	6094246.1	3048994.3	12640795.4
24000000.0	6166922.9	3066194.3	12983796.5
25000000.0	6235337.0	3082191.4	13316295.0
26000000.0	6299852.8	3097107.4	13638766.9
27000000.0	6360794.3	3111048.5	13951659.6
28000000.0	6418450.4	3124107.1	14255394.2
29000000.0	6473079.9	3136364.6	14550367.6
30000000.0	6524915.0	3147892.3	14836954.0
31000000.0	6574164.8	3158753.6	15115506.4
32000000.0	6621017.9	3169004.8	15386358.4
33000000.0	6665645.3	3178695.6	15649825.4
34000000.0	6708201.7	3187871.0	15906205.6
35000000.0	6748828.1	3196571.0	16155781.6
36000000.0	6787652.9	3204831.5	16398820.8
37000000.0	6824793.4	3212685.0	16635577.1
38000000.0	6860356.7	3220161.0	16866291.2
39000000.0	6894441.3	3227285.9	17091191.8
40000000.0	6927137.5	3234084.0	17310495.9
41000000.0	6958528.4	3240577.3	17524410.3
42000000.0	6988690.8	3246785.7	17733131.2
43000000.0	7017695.2	3252727.6	17936845.7
44000000.0	7045607.3	3258419.9	18135732.0
45000000.0	7072487.4	3263877.9	18329959.8
46000000.0	7098391.9	3269115.8	18519691.1
47000000.0	7123372.9	3274146.6	18705080.3
48000000.0	7147478.8	3278982.5	18886275.0
49000000.0	7170755.0	3283634.5	19063415.8
50000000.0	7193243.5	3288112.9	19236637.6
51000000.0	7214983.6	3292427.2	19406069.1
52000000.0	7236012.0	3296586.3	19571833.3
53000000.0	7256363.3	3300598.5	19734048.1
54000000.0	7276069.5	3304471.3	19892826.5
55000000.0	7295160.8	3308212.0	20048276.5
56000000.0	7313665.6	3311827.1	20200501.8
57000000.0	7331610.5	3315322.9	20349601.7
58000000.0	7349020.5	3318705.2	20495671.6
59000000.0	7365919.3	3321979.4	20638803.0
60000000.0	7382328.9	3325150.7	20779083.7
61000000.0	7398270.3	3328223.8	20916598.0
62000000.0	7413763.3	3331203.1	21051427.1
63000000.0	7428826.6	3334093.0	21183648.9
64000000.0	7443477.7	3336897.4	21313338.3
65000000.0	7457733.4	3339620.1	21440567.4
66000000.0	7471609.5	3342264.5	21565405.7
67000000.0	7485120.8	3344834.0	21687919.9
68000000.0	7498281.7	3347331.7	21808174.3
