#plotFingerprint --outRawCounts
'SPT5_T15_R1'	'SPT5_INPUT_R1'
2262	1191
152	344
152	656
221	221
820	199
226	331
382	97
298	100
0	75
2297	200
0	157
41	197
239	364
0	331
0	157
136	353
0	221
634	0
423	294
303	530
0	104
596	330
158	398
303	544
2773	918
0	496
272	204
196	458
0	752
152	423
84	149
75	1228
466	245
84	562
56	427
66	49
150	163
76	240
0	149
262	467
309	609
575	354
132	591
244	519
0	492
1705	1882
327	472
0	399
3000	731
227	68
276	393
3	397
155	81
0	209
250	323
0	49
1389	81
305	259
0	441
151	99
857	843
3243	435
753	547
53	432
219	275
138	500
76	353
534	267
523	537
474	240
1309	596
591	594
0	497
0	509
291	100
0	298
76	147
152	50
0	198
0	206
0	325
458	415
62	386
86	0
219	394
111	656
301	200
284	50
1173	375
302	244
0	176
0	145
0	343
303	259
443	691
0	275
436	397
1079	146
