TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	838479.6	818077.4	854533.4
2000000.0	1502979.9	1391953.9	1579331.3
3000000.0	2047770.1	1818611.2	2212365.0
4000000.0	2502350.9	2146957.1	2770554.3
5000000.0	2888965.4	2407257.7	3266587.7
6000000.0	3221218.4	2618660.9	3710381.0
7000000.0	3509765.3	2793756.5	4109821.3
8000000.0	3762480.8	2940965.7	4471271.8
9000000.0	3985312.0	3066419.3	4799927.5
10000000.0	4183596.2	3174710.7	5100073.2
11000000.0	4361178.3	3269136.2	5375275.9
12000000.0	4521139.7	3352198.8	5628529.4
13000000.0	4665979.2	3425833.2	5862365.6
14000000.0	4797744.5	3491558.6	6078940.3
15000000.0	4918129.4	3550584.3	6280100.9
16000000.0	5028547.2	3603885.1	6467439.7
17000000.0	5130186.7	3652255.5	6642336.5
18000000.0	5224054.7	3696349.3	6805993.1
19000000.0	5311009.6	3736709.7	6959461.1
20000000.0	5391788.1	3773791.6	7103664.7
21000000.0	5467025.6	3807978.9	7239419.3
22000000.0	5537273.5	3839597.9	7367447.4
23000000.0	5603012.0	3868927.4	7488391.2
24000000.0	5664662.0	3896207.6	7602823.5
25000000.0	5722593.3	3921645.8	7711257.0
26000000.0	5777132.6	3945422.7	7814151.9
27000000.0	5828569.3	3967695.7	7911922.4
28000000.0	5877160.8	3988603.3	8004942.3
29000000.0	5923136.8	4008267.2	8093550.0
30000000.0	5966703.1	4026795.2	8178052.5
31000000.0	6008044.1	4044283.0	8258728.7
32000000.0	6047326.2	4060815.7	8335833.1
33000000.0	6084699.4	4076469.6	8409597.9
34000000.0	6120299.6	4091312.9	8480235.6
35000000.0	6154250.0	4105407.0	8547941.1
36000000.0	6186662.6	4118807.2	8612893.3
37000000.0	6217639.8	4131563.5	8675257.0
38000000.0	6247274.7	4143721.3	8735184.0
39000000.0	6275652.7	4155321.7	8792814.4
40000000.0	6302852.2	4166402.1	8848277.8
41000000.0	6328945.1	4176996.8	8901694.4
42000000.0	6353997.5	4187137.1	8953175.3
43000000.0	6378070.5	4196851.5	9002824.1
44000000.0	6401220.4	4206166.3	9050736.7
45000000.0	6423499.4	4215105.7	9097002.9
46000000.0	6444955.5	4223691.9	9141706.0
47000000.0	6465633.7	4231945.5	9184924.0
48000000.0	6485575.4	4239885.4	9226729.7
49000000.0	6504819.4	4247529.2	9267191.2
50000000.0	6523401.6	4254893.1	9306372.4
51000000.0	6541355.5	4261992.3	9344333.2
52000000.0	6558712.5	4268840.7	9381129.7
53000000.0	6575502.0	4275451.4	9416814.6
54000000.0	6591751.2	4281836.6	9451437.7
55000000.0	6607485.8	4288007.5	9485045.5
56000000.0	6622729.9	4293975.0	9517682.3
57000000.0	6637506.2	4299748.7	9549389.4
58000000.0	6651835.7	4305338.1	9580206.0
59000000.0	6665738.5	4310751.7	9610169.1
60000000.0	6679233.3	4315997.8	9639313.8
61000000.0	6692337.8	4321084.1	9667673.1
62000000.0	6705068.8	4326017.6	9695278.3
63000000.0	6717442.0	4330805.3	9722159.1
64000000.0	6729472.2	4335453.4	9748343.8
65000000.0	6741178.5	4339967.9	9773858.9
66000000.0	6752614.5	4344354.7	9798729.9
67000000.0	6763746.4	4348618.9	9822980.9
68000000.0	6774586.0	4352765.8	9846634.6
69000000.0	6785144.9	4356799.9	9869713.1
70000000.0	6795433.7	4360726.0	9892236.9
71000000.0	6805462.7	4364548.2	9914225.9
72000000.0	6815241.6	4368270.7	9935698.9
73000000.0	6824779.7	4371897.2	9956673.8
74000000.0	6834085.7	4375431.5	9977167.8
75000000.0	6843167.9	4378877.0	9997197.2
76000000.0	6852034.5	4382237.1	10016777.7
77000000.0	6860692.9	4385514.8	10035924.1
78000000.0	6869150.4	4388713.2	10054650.8
79000000.0	6877414.0	4391835.1	10072971.4
80000000.0	6885490.1	4394883.2	10090899.1
81000000.0	6893385.2	4397860.1	10108446.2
82000000.0	6901105.2	4400768.3	10125624.8
83000000.0	6908656.0	4403610.1	10142446.3
84000000.0	6916042.9	4406387.8	10158921.9
85000000.0	6923271.3	4409103.5	10175062.0
86000000.0	6930346.3	4411759.3	10190876.9
87000000.0	6937272.6	4414357.0	10206376.1
88000000.0	6944054.9	4416898.7	10221569.2
89000000.0	6950697.7	4419386.1	10236465.1
90000000.0	6957205.1	4421821.0	10251072.3
91000000.0	6963581.4	4424204.9	10265399.4
92000000.0	6969830.4	4426539.4	10279454.1
93000000.0	6975955.9	4428826.2	10293244.2
94000000.0	6981961.6	4431066.5	10306777.2
95000000.0	6987850.8	4433261.9	10320060.1
96000000.0	6993627.0	4435413.7	10333099.8
97000000.0	6999293.4	4437523.1	10345902.9
98000000.0	7004853.1	4439591.4	10358475.8
99000000.0	7010309.1	4441619.7	10370824.7
100000000.0	7015664.2	4443609.3	10382955.5
101000000.0	7020921.2	4445561.3	10394873.9
102000000.0	7026082.8	4447476.6	10406585.5
