PeakID (cmd=annotatePeaks.pl SPT5_T15_R1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R1_peak_510	XII	459755	460751	+	1107	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	577	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T15_R1_peak_728	XV	978496	979586	+	101	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-972	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
SPT5_T15_R1_peak_551	XII	1071496	1071896	+	95	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	14	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T15_R1_peak_250	V	441928	442487	+	93	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	220	SCR1	SCR1	SCR1			SCR1			ncRNA
SPT5_T15_R1_peak_315	VII	598869	599181	+	90	NA	promoter-TSS (YGR055W)	protein_coding-promoter-TSS (YGR055W)	-392	YGR055W	YGR055W	YGR055W			MUP1			protein_coding
SPT5_T15_R1_peak_705	XV	678890	679154	+	87	NA	promoter-TSS (YOR182C)	protein_coding-promoter-TSS (YOR182C)	150	YOR183W	YOR183W	YOR183W			FYV12			protein_coding
SPT5_T15_R1_peak_746	XVI	214382	215608	+	86	NA	Intergenic	Intergenic	-1033	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
SPT5_T15_R1_peak_361	VIII	122095	122685	+	82	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	375	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
SPT5_T15_R1_peak_722	XV	908531	909114	+	81	NA	promoter-TSS (YOR316C-A)	protein_coding-promoter-TSS (YOR316C-A)	-521	YOR317W	YOR317W	YOR317W			FAA1			protein_coding
SPT5_T15_R1_peak_677	XV	253805	254127	+	81	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-331	YOL039W	YOL039W	YOL039W			RPP2A			protein_coding
SPT5_T15_R1_peak_370	VIII	236146	236554	+	80	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	162	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
SPT5_T15_R1_peak_76	III	137131	137473	+	80	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-429	YCR011C	YCR011C	YCR011C			ADP1			protein_coding
SPT5_T15_R1_peak_216	V	117553	118208	+	80	NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	155	RPR1	RPR1	RPR1			RPR1			ncRNA
SPT5_T15_R1_peak_586	XIII	540147	540911	+	80	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-473	YMR135C	YMR135C	YMR135C			GID8			protein_coding
SPT5_T15_R1_peak_549	XII	1028481	1028710	+	79	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-259	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
SPT5_T15_R1_peak_789	XVI	860308	860792	+	79	NA	promoter-TSS (YPR159C-A)	protein_coding-promoter-TSS (YPR159C-A)	-135	YPR159C-A	YPR159C-A	YPR159C-A			YPR159C-A			protein_coding
SPT5_T15_R1_peak_179	IV	1468621	1469260	+	79	NA	promoter-TSS (YDR508C)	protein_coding-promoter-TSS (YDR508C)	-460	YDR510W	YDR510W	YDR510W			SMT3			protein_coding
SPT5_T15_R1_peak_458	XI	216826	217102	+	78	NA	promoter-TSS (YKL120W)	protein_coding-promoter-TSS (YKL120W)	-380	YKL120W	YKL120W	YKL120W			OAC1			protein_coding
SPT5_T15_R1_peak_687	XV	424144	424717	+	75	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	187	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
SPT5_T15_R1_peak_350	VII	1000175	1000721	+	75	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-479	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
SPT5_T15_R1_peak_180	IV	1489986	1491128	+	74	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-39	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
SPT5_T15_R1_peak_762	XVI	431576	432763	+	74	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	274	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
SPT5_T15_R1_peak_297	VII	397907	398318	+	74	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-494	YGL056C	YGL056C	YGL056C			SDS23			protein_coding
SPT5_T15_R1_peak_196	IX	248915	249693	+	72	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	454	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
SPT5_T15_R1_peak_274	VI	255320	256226	+	71	NA	promoter-TSS (YFR053C)	protein_coding-promoter-TSS (YFR053C)	-724	YFR053C	YFR053C	YFR053C			HXK1			protein_coding
SPT5_T15_R1_peak_499	XII	253171	253656	+	71	NA	promoter-TSS (YLR055C)	protein_coding-promoter-TSS (YLR055C)	-333	YLR055C	YLR055C	YLR055C			SPT8			protein_coding
SPT5_T15_R1_peak_317	VII	625179	626334	+	70	NA	promoter-TSS (YGR067C)	protein_coding-promoter-TSS (YGR067C)	-538	YGR068W-A	YGR068W-A	YGR068W-A			YGR068W-A			protein_coding
SPT5_T15_R1_peak_107	IV	321729	322118	+	69	NA	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-303	YDL075W	YDL075W	YDL075W			RPL31A			protein_coding
SPT5_T15_R1_peak_396	X	90163	90638	+	69	NA	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-303	YJL178C	YJL178C	YJL178C			ATG27			protein_coding
SPT5_T15_R1_peak_648	XIV	559260	559716	+	69	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-326	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
SPT5_T15_R1_peak_669	XV	108983	110084	+	69	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	357	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
SPT5_T15_R1_peak_181	IV	1506805	1507856	+	68	NA	promoter-TSS (YDR535C)	protein_coding-promoter-TSS (YDR535C)	32	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
SPT5_T15_R1_peak_765	XVI	455028	455340	+	68	NA	promoter-TSS (YPL054W)	protein_coding-promoter-TSS (YPL054W)	-194	YPL055C	YPL055C	YPL055C			LGE1			protein_coding
SPT5_T15_R1_peak_767	XVI	502392	503065	+	68	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	302	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
SPT5_T15_R1_peak_568	XIII	271704	272117	+	66	NA	promoter-TSS (YMR001C)	protein_coding-promoter-TSS (YMR001C)	-283	YMR002W	YMR002W	YMR002W			MIX17			protein_coding
SPT5_T15_R1_peak_600	XIII	773677	775834	+	66	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	3	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
SPT5_T15_R1_peak_277	VII	23291	23805	+	66	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-387	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
SPT5_T15_R1_peak_572	XIII	306095	306923	+	66	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-916	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
SPT5_T15_R1_peak_128	IV	591626	592278	+	66	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-487	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
SPT5_T15_R1_peak_432	X	639053	639824	+	65	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-463	YJR113C	YJR113C	YJR113C			RSM7			protein_coding
SPT5_T15_R1_peak_37	II	378655	379017	+	65	NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-403	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
SPT5_T15_R1_peak_301	VII	428147	428387	+	64	NA	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-320	YGL037C	YGL037C	YGL037C			PNC1			protein_coding
SPT5_T15_R1_peak_296	VII	383355	385778	+	64	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	85	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
SPT5_T15_R1_peak_129	IV	593316	594078	+	64	NA	promoter-TSS (YDR074W)	protein_coding-promoter-TSS (YDR074W)	-196	YDR074W	YDR074W	YDR074W			TPS2			protein_coding
SPT5_T15_R1_peak_23	II	159777	160068	+	63	NA	promoter-TSS (YBL032W)	protein_coding-promoter-TSS (YBL032W)	-229	YBL033C	YBL033C	YBL033C			RIB1			protein_coding
SPT5_T15_R1_peak_703	XV	638690	639379	+	63	NA	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	233	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
SPT5_T15_R1_peak_331	VII	774276	774760	+	63	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	169	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
SPT5_T15_R1_peak_672	XV	160882	162158	+	63	NA	promoter-TSS (YOL084W)	protein_coding-promoter-TSS (YOL084W)	-59	YOL085W-A	YOL085W-A	YOL085W-A			YOL085W-A			protein_coding
SPT5_T15_R1_peak_740	XVI	114464	115117	+	63	NA	promoter-TSS (YPL230W)	protein_coding-promoter-TSS (YPL230W)	-522	YPL230W	YPL230W	YPL230W			USV1			protein_coding
SPT5_T15_R1_peak_729	XV	987290	989630	+	63	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	322	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T15_R1_peak_195	IX	232472	232893	+	62	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-313	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
SPT5_T15_R1_peak_658	XIV	739091	739758	+	62	NA	promoter-TSS (YNR060W)	protein_coding-promoter-TSS (YNR060W)	-527	YNR060W	YNR060W	YNR060W			FRE4			protein_coding
SPT5_T15_R1_peak_346	VII	974221	974824	+	62	NA	promoter-TSS (YGR240C)	protein_coding-promoter-TSS (YGR240C)	255	YGR240C-A	YGR240C-A	YGR240C-A			YGR240C-A			protein_coding
SPT5_T15_R1_peak_779	XVI	678440	679329	+	61	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	-67	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
SPT5_T15_R1_peak_285	VII	149045	149391	+	61	NA	promoter-TSS (YGL188C-A)	protein_coding-promoter-TSS (YGL188C-A)	-254	YGL188C-A	YGL188C-A	YGL188C-A			YGL188C-A			protein_coding
SPT5_T15_R1_peak_593	XIII	652077	653877	+	60	NA	promoter-TSS (YMR194C-B)	protein_coding-promoter-TSS (YMR194C-B)	-90	YMR194C-B	YMR194C-B	YMR194C-B			CMC4			protein_coding
SPT5_T15_R1_peak_226	V	225512	225724	+	60	NA	promoter-TSS (YER036C)	protein_coding-promoter-TSS (YER036C)	-271	YER037W	YER037W	YER037W			PHM8			protein_coding
SPT5_T15_R1_peak_171	IV	1362388	1362635	+	60	NA	promoter-TSS (YDR451C)	protein_coding-promoter-TSS (YDR451C)	-330	YDR451C	YDR451C	YDR451C			YHP1			protein_coding
SPT5_T15_R1_peak_299	VII	413264	413655	+	60	NA	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-643	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
SPT5_T15_R1_peak_158	IV	1164847	1165420	+	59	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-473	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
SPT5_T15_R1_peak_176	IV	1429081	1429433	+	59	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-277	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
SPT5_T15_R1_peak_302	VII	433295	433573	+	59	NA	promoter-TSS (YGL035C)	protein_coding-promoter-TSS (YGL035C)	145	YGL034C	YGL034C	YGL034C			YGL034C			protein_coding
SPT5_T15_R1_peak_325	VII	726614	726886	+	59	NA	promoter-TSS (YGR117C)	protein_coding-promoter-TSS (YGR117C)	-224	YGR118W	YGR118W	YGR118W			RPS23A			protein_coding
SPT5_T15_R1_peak_599	XIII	759009	759303	+	59	NA	promoter-TSS (YMR244C-A)	protein_coding-promoter-TSS (YMR244C-A)	-325	YMR244C-A	YMR244C-A	YMR244C-A			COA6			protein_coding
SPT5_T15_R1_peak_163	IV	1242354	1243020	+	58	NA	promoter-TSS (YDR384C)	protein_coding-promoter-TSS (YDR384C)	-543	YDR385W	YDR385W	YDR385W			EFT2			protein_coding
SPT5_T15_R1_peak_372	VIII	280215	281462	+	58	NA	promoter-TSS (YHR087W)	protein_coding-promoter-TSS (YHR087W)	18	YHR087W	YHR087W	YHR087W			RTC3			protein_coding
SPT5_T15_R1_peak_775	XVI	645050	647603	+	58	NA	promoter-TSS (YPR038W)	protein_coding-promoter-TSS (YPR038W)	376	YPR036W-A	YPR036W-A	YPR036W-A			SPO24			protein_coding
SPT5_T15_R1_peak_710	XV	761856	762543	+	58	NA	promoter-TSS (YOR224C)	protein_coding-promoter-TSS (YOR224C)	-115	YOR226C	YOR226C	YOR226C			ISU2			protein_coding
SPT5_T15_R1_peak_170	IV	1345371	1345603	+	58	NA	promoter-TSS (YDR441C)	protein_coding-promoter-TSS (YDR441C)	-160	YDR442W	YDR442W	YDR442W			YDR442W			protein_coding
SPT5_T15_R1_peak_485	XI	614609	615474	+	58	NA	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-689	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
