PeakID (cmd=annotatePeaks.pl SPT5_T0_R1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R1_peak_583	XII	459620	460759	+	1121	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	513	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T0_R1_peak_559	XII	36	280	+	249	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-685	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
SPT5_T0_R1_peak_415	VIII	27	315	+	194	NA	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-640	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
SPT5_T0_R1_peak_509	XI	76	575	+	121	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-126	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
SPT5_T0_R1_peak_200	IV	1524822	1525570	+	112	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	-263	YDR543C	YDR543C	YDR543C			YDR543C			protein_coding
SPT5_T0_R1_peak_19	II	5657	6374	+	109	NA	exon (YBL109W, exon 1 of 1)	protein_coding-exon (YBL109W, exon 1 of 1)	225	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
SPT5_T0_R1_peak_776	XV	108970	110208	+	108	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	413	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
SPT5_T0_R1_peak_255	V	6208	6441	+	95	NA	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	198	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
SPT5_T0_R1_peak_704	XIII	923375	924306	+	93	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-38	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
SPT5_T0_R1_peak_333	VII	10	548	+	92	NA	Intergenic	Intergenic	-2511	YGL263W	YGL263W	YGL263W			COS12			protein_coding
SPT5_T0_R1_peak_638	XII	1071486	1071849	+	89	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	43	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T0_R1_peak_309	V	569831	570714	+	87	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-365	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
SPT5_T0_R1_peak_560	XII	5621	5971	+	82	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	191	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
SPT5_T0_R1_peak_300	V	441761	443258	+	81	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	522	SCR1	SCR1	SCR1			SCR1			ncRNA
SPT5_T0_R1_peak_705	XIV	6594	7194	+	80	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-271	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
