Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
NA	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	36	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
NA	promoter-TSS (YAL066W)	protein_coding-promoter-TSS (YAL066W)	-437	YAL066W	YAL066W	YAL066W			YAL066W			protein_coding
NA	promoter-TSS (YAL064W)	protein_coding-promoter-TSS (YAL064W)	-663	YAL064W	YAL064W	YAL064W			YAL064W			protein_coding
NA	Intergenic	Intergenic	-1577	YAL063C	YAL063C	YAL063C			FLO9			protein_coding
NA	promoter-TSS (YAL061W)	protein_coding-promoter-TSS (YAL061W)	-704	YAL061W	YAL061W	YAL061W			BDH2			protein_coding
NA	promoter-TSS (YAL060W)	protein_coding-promoter-TSS (YAL060W)	-478	YAL060W	YAL060W	YAL060W			BDH1			protein_coding
NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-320	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
NA	promoter-TSS (YAL044C)	protein_coding-promoter-TSS (YAL044C)	97	YAL044C	YAL044C	YAL044C			GCV3			protein_coding
NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-974	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
NA	promoter-TSS (YAL039C)	protein_coding-promoter-TSS (YAL039C)	-458	YAL039C	YAL039C	YAL039C			CYC3			protein_coding
NA	TTS (YAL037C-B)	protein_coding-TTS (YAL037C-B)	289	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
NA	promoter-TSS (YAL035W)	protein_coding-promoter-TSS (YAL035W)	39	YAL036C	YAL036C	YAL036C			RBG1			protein_coding
NA	promoter-TSS (YAL019W)	protein_coding-promoter-TSS (YAL019W)	-96	YAL019W	YAL019W	YAL019W			FUN30			protein_coding
NA	promoter-TSS (YAL007C)	protein_coding-promoter-TSS (YAL007C)	-246	tP(UGG)A	tP(UGG)A	tP(UGG)A			TRN1			tRNA
NA	promoter-TSS (YAL003W)	protein_coding-promoter-TSS (YAL003W)	-187	YAL003W	YAL003W	YAL003W			EFB1			protein_coding
NA	promoter-TSS (YAL002W)	protein_coding-promoter-TSS (YAL002W)	-61	YAL002W	YAL002W	YAL002W			VPS8			protein_coding
NA	promoter-TSS (YAR010C)	protein_coding-promoter-TSS (YAR010C)	-126	tA(UGC)A	tA(UGC)A	tA(UGC)A			TGA1			tRNA
NA	promoter-TSS (tL(CAA)A)	tRNA-promoter-TSS (tL(CAA)A)	52	tL(CAA)A	tL(CAA)A	tL(CAA)A			SUP56			tRNA
NA	TTS (tS(AGA)A)	tRNA-TTS (tS(AGA)A)	121	tS(AGA)A	tS(AGA)A	tS(AGA)A			tS(AGA)A			tRNA
NA	exon (YAR035W, exon 1 of 1)	protein_coding-exon (YAR035W, exon 1 of 1)	192	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
NA	Intergenic	Intergenic	3260	YAR047C	YAR047C	YAR047C			YAR047C			protein_coding
NA	Intergenic	Intergenic	2674	YAR053W	YAR053W	YAR053W			YAR053W			protein_coding
NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	959	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
NA	promoter-TSS (YBL113W-A)	protein_coding-promoter-TSS (YBL113W-A)	-436	YBL113W-A	YBL113W-A	YBL113W-A			YBL113W-A			protein_coding
NA	TTS (YBL109W)	protein_coding-TTS (YBL109W)	298	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
NA	promoter-TSS (YBL107W-A)	protein_coding-promoter-TSS (YBL107W-A)	212	YBL108W	YBL108W	YBL108W			YBL108W			protein_coding
NA	promoter-TSS (YBL101C)	protein_coding-promoter-TSS (YBL101C)	254	YBL100W-C	YBL100W-C	YBL100W-C			YBL100W-C			protein_coding
NA	promoter-TSS (YBL099W)	protein_coding-promoter-TSS (YBL099W)	-6	tF(GAA)B	tF(GAA)B	tF(GAA)B			tF(GAA)B			tRNA
NA	promoter-TSS (YBL092W)	protein_coding-promoter-TSS (YBL092W)	-449	YBL093C	YBL093C	YBL093C			ROX3			protein_coding
NA	promoter-TSS (YBL091C-A)	protein_coding-promoter-TSS (YBL091C-A)	-96	YBL091C-A	YBL091C-A	YBL091C-A			SCS22			protein_coding
NA	promoter-TSS (YBL088C)	protein_coding-promoter-TSS (YBL088C)	-135	YBL088C	YBL088C	YBL088C			TEL1			protein_coding
NA	promoter-TSS (YBL087C)	protein_coding-promoter-TSS (YBL087C)	-249	YBL087C	YBL087C	YBL087C			RPL23A			protein_coding
NA	promoter-TSS (YBL079W)	protein_coding-promoter-TSS (YBL079W)	-136	YBL080C	YBL080C	YBL080C			PET112			protein_coding
NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-37	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
NA	promoter-TSS (YBL063W)	protein_coding-promoter-TSS (YBL063W)	-158	YBL064C	YBL064C	YBL064C			PRX1			protein_coding
