PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1465	XVI	882863	883336	+	0	NA	promoter-TSS (YPR169W-A)	protein_coding-promoter-TSS (YPR169W-A)	-140	YPR170W-B	YPR170W-B	YPR170W-B			YPR170W-B			protein_coding
Interval_431	V	42066	42772	+	0	NA	promoter-TSS (YEL058W)	protein_coding-promoter-TSS (YEL058W)	205	YEL059C-A	YEL059C-A	YEL059C-A			SOM1			protein_coding
Interval_750	X	36177	37779	+	0	NA	promoter-TSS (YJL210W)	protein_coding-promoter-TSS (YJL210W)	59	YJL210W	YJL210W	YJL210W			PEX2			protein_coding
Interval_1253	XV	92949	93582	+	0	NA	promoter-TSS (YOL121C)	protein_coding-promoter-TSS (YOL121C)	-415	YOL121C	YOL121C	YOL121C			RPS19A			protein_coding
Interval_205	IV	301364	303247	+	0	NA	promoter-TSS (YDL085W)	protein_coding-promoter-TSS (YDL085W)	-216	YDL086C-A	YDL086C-A	YDL086C-A			YDL086C-A			protein_coding
Interval_753	X	68885	69204	+	0	NA	promoter-TSS (YJL194W)	protein_coding-promoter-TSS (YJL194W)	-262	YJL196C	YJL196C	YJL196C			ELO1			protein_coding
Interval_943	XII	289703	289954	+	0	NA	promoter-TSS (YLR081W)	protein_coding-promoter-TSS (YLR081W)	-384	YLR081W	YLR081W	YLR081W			GAL2			protein_coding
Interval_978	XII	636252	636619	+	0	NA	promoter-TSS (YLR249W)	protein_coding-promoter-TSS (YLR249W)	-345	YLR249W	YLR249W	YLR249W			YEF3			protein_coding
Interval_147	III	157705	158032	+	0	NA	promoter-TSS (YCR021C)	protein_coding-promoter-TSS (YCR021C)	-103	YCR022C	YCR022C	YCR022C			YCR022C			protein_coding
Interval_590	VII	478586	478768	+	0	NA	promoter-TSS (YGL009C)	protein_coding-promoter-TSS (YGL009C)	-25	YGL009C	YGL009C	YGL009C			LEU1			protein_coding
Interval_385	IX	248708	249897	+	0	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	452	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
Interval_416	MT	36599	36986	+	0	NA	exon (Q0105, exon 1 of 6)	protein_coding-exon (Q0105, exon 1 of 6)	252	Q0120	Q0120	Q0120			BI4			protein_coding
Interval_857	XI	99313	100157	+	0	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-936	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
Interval_1120	XIII	683869	684306	+	0	NA	promoter-TSS (YMR207C)	protein_coding-promoter-TSS (YMR207C)	-380	YMR208W	YMR208W	YMR208W			ERG12			protein_coding
Interval_40	II	140407	141186	+	0	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-451	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
