# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "2" "-p" "--donotsort" "-a" "SPT5.consensus_peaks.saf" "-o" "SPT5.consensus_peaks.featureCounts.txt" "SPT5_T0_R1.mLb.clN.bam" "SPT5_T15_R2.mLb.clN.bam" "SPT5_T15_R1.mLb.clN.bam" "SPT5_T0_R2.mLb.clN.bam" 
Geneid	Chr	Start	End	Strand	Length	SPT5_T0_R1.mLb.clN.bam	SPT5_T15_R2.mLb.clN.bam	SPT5_T15_R1.mLb.clN.bam	SPT5_T0_R2.mLb.clN.bam
Interval_1	I	33	709	+	677	79	27	25	71
Interval_2	I	9532	9775	+	244	1	4	1	0
Interval_3	I	20734	21072	+	339	13	14	14	6
Interval_4	I	29104	29985	+	882	15	11	7	8
Interval_5	I	31909	33579	+	1671	22	38	36	24
Interval_6	I	34294	35060	+	767	24	19	14	14
Interval_7	I	45336	45821	+	486	16	26	20	24
Interval_8	I	58195	58534	+	340	7	6	6	3
Interval_9	I	67995	68992	+	998	59	63	59	41
Interval_10	I	69739	70227	+	489	15	5	3	4
Interval_11	I	70939	73210	+	2272	69	31	32	72
Interval_12	I	75955	76270	+	316	3	5	2	2
Interval_13	I	114667	114979	+	313	3	8	11	2
Interval_14	I	138500	139312	+	813	17	16	12	11
Interval_15	I	141544	142429	+	886	36	18	18	24
Interval_16	I	143455	143836	+	382	10	1	7	9
Interval_17	I	165808	166473	+	666	11	4	11	18
Interval_18	I	180920	181465	+	546	30	13	15	14
Interval_19	I	182293	182670	+	378	12	8	9	6
Interval_20	I	189996	190773	+	778	35	35	46	44
Interval_21	I	198353	198701	+	349	5	7	3	9
Interval_22	I	210913	211168	+	256	11	16	5	7
Interval_23	I	229417	230188	+	772	49	18	14	58
Interval_24	II	66	353	+	288	4	4	4	11
Interval_25	II	5639	6536	+	898	54	23	20	33
Interval_26	II	8286	8492	+	207	3	4	8	0
Interval_27	II	28401	28960	+	560	10	14	11	6
Interval_28	II	36132	36651	+	520	26	15	20	14
Interval_29	II	45005	45728	+	724	40	19	25	25
Interval_30	II	46650	47901	+	1252	18	10	18	23
Interval_31	II	59387	59646	+	260	5	5	0	3
Interval_32	II	60827	61149	+	323	16	20	9	14
Interval_33	II	74634	75028	+	395	3	10	4	1
Interval_34	II	89290	89895	+	606	28	17	17	26
Interval_35	II	100633	101995	+	1363	11	14	26	9
Interval_36	II	107529	107778	+	250	6	2	2	1
Interval_37	II	116596	117667	+	1072	21	22	23	14
Interval_38	II	131935	132168	+	234	0	1	4	0
Interval_39	II	135743	136344	+	602	38	43	30	33
Interval_40	II	140406	141186	+	781	35	41	31	26
Interval_41	II	159603	160068	+	466	20	26	27	11
Interval_42	II	164125	165704	+	1580	74	59	70	53
Interval_43	II	167919	168346	+	428	39	39	30	27
Interval_44	II	171371	171544	+	174	4	1	1	0
Interval_45	II	191927	192287	+	361	7	4	7	3
Interval_46	II	193448	194227	+	780	20	28	35	17
Interval_47	II	197274	197563	+	290	9	2	2	1
Interval_48	II	201908	203582	+	1675	41	36	56	35
Interval_49	II	221347	221558	+	212	4	8	0	8
Interval_50	II	227170	227640	+	471	7	8	13	7
Interval_51	II	234949	236587	+	1639	22	13	10	19
Interval_52	II	237611	238443	+	833	4	11	2	5
Interval_53	II	247743	247979	+	237	1	6	2	0
Interval_54	II	251077	251637	+	561	15	13	17	14
Interval_55	II	255177	256429	+	1253	31	17	11	20
Interval_56	II	266295	266675	+	381	3	11	8	1
Interval_57	II	269706	270138	+	433	3	9	29	4
Interval_58	II	281016	281255	+	240	5	7	10	1
Interval_59	II	288191	288537	+	347	1	5	7	5
Interval_60	II	290065	290382	+	318	0	4	1	1
Interval_61	II	292033	292350	+	318	6	6	3	2
Interval_62	II	307064	307525	+	462	3	11	6	0
Interval_63	II	332483	332717	+	235	14	13	10	8
Interval_64	II	340638	342433	+	1796	31	35	36	22
Interval_65	II	347392	347728	+	337	4	13	2	6
Interval_66	II	350849	351071	+	223	6	11	13	5
Interval_67	II	356274	356764	+	491	4	9	11	9
Interval_68	II	370907	371755	+	849	17	35	34	13
Interval_69	II	373231	374619	+	1389	16	15	27	21
Interval_70	II	375452	376745	+	1294	21	38	46	18
Interval_71	II	378654	379231	+	578	29	28	30	17
Interval_72	II	391614	392847	+	1234	29	35	43	26
Interval_73	II	405548	406414	+	867	9	21	10	11
Interval_74	II	408362	408951	+	590	26	30	33	12
Interval_75	II	410640	410893	+	254	1	7	5	2
Interval_76	II	414588	415773	+	1186	22	24	40	19
Interval_77	II	419308	420022	+	715	8	37	34	5
Interval_78	II	426572	427354	+	783	28	35	30	13
Interval_79	II	452195	452623	+	429	14	14	20	12
Interval_80	II	454227	454928	+	702	9	5	5	4
Interval_81	II	458461	458743	+	283	4	11	2	5
Interval_82	II	461817	461997	+	181	3	10	6	2
Interval_83	II	466059	467131	+	1073	35	47	54	19
Interval_84	II	474114	474466	+	353	6	8	8	8
Interval_85	II	476263	477602	+	1340	31	50	36	25
Interval_86	II	483526	483832	+	307	5	1	5	8
Interval_87	II	486633	486863	+	231	2	6	7	0
Interval_88	II	490079	491124	+	1046	25	57	44	10
Interval_89	II	501290	501742	+	453	1	8	11	0
Interval_90	II	504534	504766	+	233	11	13	13	6
Interval_91	II	539881	540085	+	205	1	3	8	5
Interval_92	II	544578	544832	+	255	4	14	4	3
Interval_93	II	547560	547845	+	286	0	9	1	3
Interval_94	II	554618	556182	+	1565	52	49	46	52
Interval_95	II	560640	561554	+	915	9	19	16	8
Interval_96	II	564885	565584	+	700	16	19	17	15
Interval_97	II	589243	589599	+	357	8	14	11	8
Interval_98	II	592895	593094	+	200	9	17	20	12
Interval_99	II	595532	596000	+	469	17	38	26	7
Interval_100	II	602093	602463	+	371	8	16	13	10
Interval_101	II	604185	604476	+	292	16	14	10	7
Interval_102	II	605449	606222	+	774	22	19	31	16
Interval_103	II	613041	615763	+	2723	44	51	60	36
Interval_104	II	624766	625658	+	893	28	37	22	28
Interval_105	II	628526	628822	+	297	12	30	20	11
Interval_106	II	633493	633855	+	363	0	8	4	1
Interval_107	II	642682	643158	+	477	16	12	17	8
Interval_108	II	644902	645469	+	568	19	9	6	7
Interval_109	II	662076	663160	+	1085	16	25	21	12
Interval_110	II	668101	668843	+	743	17	12	15	13
Interval_111	II	679934	681183	+	1250	25	30	32	29
Interval_112	II	681847	682339	+	493	10	11	22	7
Interval_113	II	697483	698008	+	526	20	18	18	20
Interval_114	II	702265	702597	+	333	12	15	18	9
Interval_115	II	706919	707298	+	380	8	5	5	6
Interval_116	II	718216	718908	+	693	13	12	8	1
Interval_117	II	726822	727155	+	334	1	0	7	4
Interval_118	II	760373	760562	+	190	2	3	0	0
Interval_119	II	761000	761196	+	197	13	5	2	7
Interval_120	II	770614	771163	+	550	10	23	20	13
Interval_121	II	776156	776488	+	333	2	6	3	2
Interval_122	II	792123	792299	+	177	6	5	1	0
Interval_123	II	798740	799039	+	300	13	10	5	9
Interval_124	III	56	1002	+	947	55	23	39	88
Interval_125	III	17004	17232	+	229	7	5	13	4
Interval_126	III	22031	22238	+	208	2	1	5	2
Interval_127	III	24442	24671	+	230	8	7	9	5
Interval_128	III	27397	27645	+	249	1	3	8	0
Interval_129	III	30522	31358	+	837	14	3	9	11
Interval_130	III	40599	41106	+	508	1	13	3	3
Interval_131	III	48323	48532	+	210	8	9	3	3
Interval_132	III	50345	50807	+	463	20	28	31	21
Interval_133	III	51929	52680	+	752	4	15	19	4
Interval_134	III	58724	59489	+	766	13	6	12	8
Interval_135	III	68540	68770	+	231	23	5	10	19
Interval_136	III	77645	79033	+	1389	38	44	57	29
Interval_137	III	82403	82600	+	198	8	0	2	8
Interval_138	III	103602	104511	+	910	16	9	13	12
Interval_139	III	107158	107327	+	170	6	3	3	5
Interval_140	III	120430	120642	+	213	4	8	4	4
Interval_141	III	122532	124151	+	1620	64	58	50	56
Interval_142	III	124844	125484	+	641	13	4	7	15
Interval_143	III	127408	127933	+	526	13	12	7	17
Interval_144	III	131707	131903	+	197	1	3	7	2
Interval_145	III	133338	133619	+	282	7	8	15	3
Interval_146	III	137081	137913	+	833	44	38	41	35
Interval_147	III	157704	158032	+	329	2	7	10	4
Interval_148	III	163265	164297	+	1033	33	27	27	28
Interval_149	III	167931	168440	+	510	16	8	3	1
Interval_150	III	169750	170045	+	296	6	2	2	7
Interval_151	III	176614	177230	+	617	5	9	11	12
Interval_152	III	178209	179362	+	1154	31	23	18	31
Interval_153	III	193230	193427	+	198	1	1	3	4
Interval_154	III	209757	210335	+	579	6	7	6	3
Interval_155	III	211334	212156	+	823	8	16	20	7
Interval_156	III	214185	214543	+	359	1	7	3	4
Interval_157	III	223322	223812	+	491	14	10	6	4
Interval_158	III	224317	225469	+	1153	17	20	12	16
Interval_159	III	227839	229085	+	1247	46	40	25	26
Interval_160	III	236310	236998	+	689	19	18	19	19
Interval_161	III	238808	239151	+	344	2	10	5	5
Interval_162	III	246655	246895	+	241	11	9	11	9
Interval_163	III	262708	262932	+	225	6	14	4	1
Interval_164	III	266499	266909	+	411	3	0	10	1
Interval_165	III	295512	295966	+	455	8	8	11	14
Interval_166	III	299134	299386	+	253	4	9	4	5
Interval_167	III	310253	310640	+	388	2	1	4	2
Interval_168	III	315773	316518	+	746	49	22	29	54
Interval_169	IV	8	812	+	805	30	14	16	36
Interval_170	IV	20021	20461	+	441	17	3	15	9
Interval_171	IV	22526	22751	+	226	5	4	3	2
Interval_172	IV	42383	42594	+	212	12	6	3	6
Interval_173	IV	42597	42823	+	227	3	1	6	0
Interval_174	IV	45195	46063	+	869	7	1	1	11
Interval_175	IV	49415	49728	+	314	5	2	3	2
Interval_176	IV	59587	60336	+	750	2	7	21	3
Interval_177	IV	60998	61183	+	186	4	2	3	5
