Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SPT5_T0_R1.raw	SPT5_T0_R2.raw	SPT5_T15_R1.raw	SPT5_T15_R2.raw	SPT5_T0_R1.pseudo	SPT5_T0_R2.pseudo	SPT5_T15_R1.pseudo	SPT5_T15_R2.pseudo
Interval_1	I	33	709	+	677	54.2459899855143	1.92143313242995	0.385524649428438	4.9839436603563	6.23012268934834e-07	0.000135972427695028	79	71	25	27	76.4609686461641	95.3559583686928	21.9345668825415	23.2324660446588
Interval_2	I	9532	9775	+	244	1.32177246483557	-1.9800652905244	3.40006616817988	-0.582360810814562	0.560323672625349	NA	1	0	1	4	0.967860362609672	0	0.877382675301661	3.44184682143093
Interval_3	I	20734	21072	+	339	11.2425640115363	-0.216479903484666	0.723185696575833	-0.299342070106838	0.764679058006103	0.935575120509567	13	6	14	14	12.5821847139257	8.05825000298812	12.2833574542233	12.0464638750083
Interval_4	I	29104	29985	+	882	10.2172490656273	0.70528264701709	0.766453778367869	0.920189405966475	0.357473789483668	0.794535594707403	15	8	7	11	14.5179054391451	10.7443333373175	6.14167872711163	9.46507875893506
Interval_5	I	31909	33579	+	1671	29.4523122759547	-0.282643726010621	0.469968153294544	-0.601410380744414	0.547566686277441	0.875546145301422	22	24	36	38	21.2929279774128	32.2330000119525	31.5857763108598	32.6975448035938
Interval_6	I	34294	35060	+	767	17.6658404747395	0.561535020815254	0.580667197160136	0.967051391160974	0.333518343568886	0.786384183581178	24	14	14	19	23.2286487026321	18.8025833403056	12.2833574542233	16.3487724017969
Interval_7	I	45336	45821	+	486	21.9096059147604	0.229208383189066	0.548650043790031	0.417767911956613	0.676116813792484	0.916537233603786	16	24	20	26	15.4857658017547	32.2330000119525	17.5476535060332	22.3720043393011
Interval_8	I	58195	58534	+	340	5.30780345592953	0.0720225690662312	1.09684088009865	0.0656636439916001	0.947645617808661	NA	7	3	6	6	6.7750225382677	4.02912500149406	5.26429605180997	5.1627702321464
Interval_9	I	67995	68992	+	998	54.5357837570145	0.0832339536203994	0.357736463782717	0.232668352396289	0.816018945945697	0.939630063509793	59	41	59	63	57.1037613939706	55.0647083537522	51.765577842798	54.2090874375372
Interval_10	I	69739	70227	+	489	6.70613216512437	1.5463602533138	1.02799257732845	1.50425235300092	0.132516402315027	NA	15	4	3	5	14.5179054391451	5.37216666865875	2.63214802590498	4.30230852678867
Interval_11	I	70939	73210	+	2272	54.5579808829169	1.56849099831359	0.384334803753856	4.0810537661276	4.48319819706638e-05	0.00205991159265208	69	72	32	31	66.7823650200674	96.6990000358575	28.0762456096532	26.6743128660897
Interval_12	I	75955	76270	+	316	2.91168457488759	-0.114458562105187	1.63393343827191	-0.0700509331801434	0.944153120356362	NA	3	2	2	5	2.90358108782902	2.68608333432937	1.75476535060332	4.30230852678867
Interval_13	I	114667	114979	+	313	5.53114187333463	-1.55938502593575	1.14366588925574	-1.36349701480609	0.172725924635901	NA	3	2	11	8	2.90358108782902	2.68608333432937	9.65120942831828	6.88369364286186
Interval_14	I	138500	139312	+	813	13.8807659731299	0.365991948415992	0.647027709215591	0.565651120041974	0.571630969510539	0.887517047954534	17	11	12	16	16.4536261643644	14.7734583388116	10.5285921036199	13.7673872857237
Interval_15	I	141544	142429	+	886	24.5892929794424	1.10336860437609	0.503470516789372	2.19152575489874	0.0284137680790837	0.236240186028953	36	24	18	18	34.8429730539482	32.2330000119525	15.7928881554299	15.4883106964392
Interval_16	I	143455	143836	+	382	7.19202976576207	1.63435661820262	1.01800807470168	1.60544563330851	0.108395768652967	NA	10	9	7	1	9.67860362609672	12.0873750044822	6.14167872711163	0.860461705357733
Interval_17	I	165808	166473	+	666	11.978567561855	1.38938212609793	0.769672432188592	1.80516030975303	0.0710495998096103	0.405824183420191	11	18	11	4	10.6464639887064	24.1747500089644	9.65120942831828	3.44184682143093
