chr	start	end	interval_id	num_peaks	num_samples	SPT5_T0_R1.bool	SPT5_T0_R2.bool	SPT5_T15_R1.bool	SPT5_T15_R2.bool	SPT5_T0_R1.fc	SPT5_T0_R2.fc	SPT5_T15_R1.fc	SPT5_T15_R2.fc	SPT5_T0_R1.qval	SPT5_T0_R2.qval	SPT5_T15_R1.qval	SPT5_T15_R2.qval	SPT5_T0_R1.pval	SPT5_T0_R2.pval	SPT5_T15_R1.pval	SPT5_T15_R2.pval	SPT5_T0_R1.start	SPT5_T0_R2.start	SPT5_T15_R1.start	SPT5_T15_R2.start	SPT5_T0_R1.end	SPT5_T0_R2.end	SPT5_T15_R1.end	SPT5_T15_R2.end
I	33	709	Interval_1	4	4	TRUE	TRUE	TRUE	TRUE	5.41486	11.451	2.65624	3.28684	7.70841	17.9442	1.40883	1.98751	10.3175	21.2963	3.018	3.75557	73	33	391	89	650	568	709	708
I	9532	9775	Interval_2	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.74949	NA	NA	NA	1.22145	NA	NA	NA	2.82012	NA	NA	NA	9532	NA	NA	NA	9775
I	20734	21072	Interval_3	3	3	TRUE	FALSE	TRUE	TRUE	3.90403	NA	4.25989	3.39152	2.81603	NA	3.5145	2.08863	4.75036	NA	5.51186	3.89371	20778	NA	20761	20734	21067	NA	21069	21072
I	29104	29985	Interval_4	3	3	TRUE	TRUE	FALSE	TRUE	3.64069	2.91625	NA	3.21634	2.44122	1.35827	NA	1.86129	4.30361	3.06561	NA	3.60083	29104	29191	NA	29800	29980	29970	NA	29985
I	31909	33579	Interval_5	4	4	TRUE	TRUE	TRUE	TRUE	3.01377	2.8904	2.62454	2.96049	1.78085	1.43023	1.3037	1.76394	3.4956	3.1138	2.89547	3.47514	32935	31909	32496	32978	33285	33114	33579	33579
I	34294	35060	Interval_6	3	3	TRUE	TRUE	FALSE	TRUE	3.56785	3.06817	NA	3.10246	2.37641	1.60097	NA	1.71202	4.19597	3.31747	NA	3.41196	34294	34477	NA	34470	34847	34975	NA	35060
I	45336	45821	Interval_7	4	4	TRUE	TRUE	TRUE	TRUE	3.28587	5.05723	3.32646	4.84081	2.00544	4.74361	2.27419	4.45813	3.78324	6.95054	4.04296	6.68168	45397	45351	45336	45336	45676	45821	45722	45724
I	58195	58534	Interval_8	1	1	TRUE	FALSE	FALSE	FALSE	2.66546	NA	NA	NA	1.20941	NA	NA	NA	2.78636	NA	NA	NA	58195	NA	NA	NA	58534	NA	NA	NA
I	67995	68992	Interval_9	4	4	TRUE	TRUE	TRUE	TRUE	5.09762	5.85773	4.82404	5.18694	5.12194	6.41079	5.04771	5.21608	7.38506	8.80788	7.26321	7.61907	68034	67995	68083	68021	68908	68831	68916	68992
I	69739	70227	Interval_10	1	1	TRUE	FALSE	FALSE	FALSE	3.51991	NA	NA	NA	2.29156	NA	NA	NA	4.10594	NA	NA	NA	69739	NA	NA	NA	70227	NA	NA	NA
