PeakID (cmd=annotatePeaks.pl SPT5_T0_R2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R2_peak_430	XII	459514	461053	+	3366	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	607	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T0_R2_peak_177	IX	439300	439861	+	232	NA	Intergenic	Intergenic	-1401	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
SPT5_T0_R2_peak_1	I	34	568	+	179	NA	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-34	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
SPT5_T0_R2_peak_417	XII	5550	5980	+	165	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	160	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
SPT5_T0_R2_peak_415	XI	666136	666803	+	140	NA	Intergenic	Intergenic	5027	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
SPT5_T0_R2_peak_236	VI	4484	5557	+	134	NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-46	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
SPT5_T0_R2_peak_315	VIII	14	419	+	134	NA	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-595	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
SPT5_T0_R2_peak_516	XIII	923773	924217	+	132	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-193	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
SPT5_T0_R2_peak_465	XII	1064513	1065430	+	132	NA	promoter-TSS (YLR462W)	protein_coding-promoter-TSS (YLR462W)	-985	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
SPT5_T0_R2_peak_250	VII	9	569	+	130	NA	Intergenic	Intergenic	-2501	YGL263W	YGL263W	YGL263W			COS12			protein_coding
SPT5_T0_R2_peak_418	XII	11011	11851	+	121	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-295	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
SPT5_T0_R2_peak_466	XII	1071492	1071895	+	117	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	17	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T0_R2_peak_202	V	140551	141639	+	112	NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-277	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
SPT5_T0_R2_peak_151	IX	1	245	+	108	NA	promoter-TSS (YIL177W-A)	protein_coding-promoter-TSS (YIL177W-A)	-723	YIL177W-A	YIL177W-A	YIL177W-A			YIL177W-A			protein_coding
